train_loss,epoch,step,val_loss
0.0638979896903038,0,49,
0.05984858050942421,0,99,
0.049225661903619766,0,149,
0.0550820417702198,0,199,
0.051957596093416214,0,249,
0.04737237095832825,0,299,
0.04323166608810425,0,349,
0.05003107711672783,0,399,
,0,429,0.046023137867450714
0.04371415078639984,1,449,
0.043955523520708084,1,499,
0.04484431818127632,1,549,
0.04832880571484566,1,599,
0.03732173889875412,1,649,
0.043400637805461884,1,699,
0.04602694511413574,1,749,
0.04718635976314545,1,799,
0.04459763318300247,1,849,
,1,859,0.04333355650305748
0.039060939103364944,2,899,
0.03939603641629219,2,949,
0.0462062694132328,2,999,
0.04847024381160736,2,1049,
0.03754214197397232,2,1099,
0.048945363610982895,2,1149,
0.04256240278482437,2,1199,
